Name,CardType,Rarity,Faction,Cost,Damage,Block,MagicNumber,Exhaust,Tags,Description,EffectIds,InherentEffectIds,IsColorless,IsFactionLocked,CardArtPath
幻影,Power,Uncommon,Corruption,2,0,0,0,0,6,本回合受到伤害减少（减伤效果）,DamageReductionEffect,,0,1,CardArt/幻影
影刃,Attack,Basic,Corruption,0,4,0,0,0,6,造成4点伤害,DealDamageEffect,,0,1,CardArt/影刃
影舞,Power,Uncommon,Corruption,1,0,0,3,0,6,获得3点暗影力量，获得1点敏捷,"ApplyShadowStrengthEffect,ApplyDexterityEffect",,0,1,CardArt/影舞
暗影爆发,Attack,Common,Corruption,1,0,0,2,0,6,造成2倍暗影力量值的伤害,ShadowBurstEffect,,0,1,CardArt/暗影爆发
暗影突袭,Attack,Basic,Corruption,1,9,0,0,0,6,造成9点伤害,DealDamageEffect,,0,1,CardArt/暗影突袭
暗影蓄力,Power,Basic,Corruption,1,0,0,2,0,6,获得2点暗影力量,ApplyShadowStrengthEffect,,0,1,CardArt/暗影蓄力
暗影迷雾,Power,Common,Corruption,1,0,8,1,0,6,获得8点格挡，获得1点敏捷,"ApplyBlockEffect,ApplyDexterityEffect",,0,1,CardArt/暗影迷雾
暗袭,Attack,Common,Corruption,2,14,0,1,0,6,造成14点伤害，抽1张牌,"DealDamageEffect,DrawCardsEffect",,0,1,CardArt/暗袭
粘液分裂,Power,Common,Blood,1,0,0,1,0,1,抽1张牌。固有：粘液,DrawCardsEffect,SlimeInherentEffect,0,1,CardArt/粘液分裂
粘液喷射,Attack,Basic,Blood,1,3,0,2,0,1,造成3点伤害，施加2层虚弱。固有：粘液,"DealDamageEffect,ApplyWeakEffect",SlimeInherentEffect,0,1,CardArt/粘液喷射
粘液打击,Attack,Basic,Blood,1,5,0,0,0,01000000,造成5点伤害。固有：粘液,DealDamageEffect,SlimeInherentEffect,0,1,CardArt/粘液打击
粘液防御,Skill,Basic,Blood,1,0,4,1,0,1,获得4点格挡，施加1层虚弱。固有：粘液,"ApplyBlockEffect,ApplyWeakEffect",SlimeInherentEffect,0,1,CardArt/粘液防御
粘液附体,Attack,Common,Blood,1,3,0,0,0,1,造成3点伤害（AoE，对全体敌人）。固有：粘液,DealDamageEffect,SlimeInherentEffect,0,1,CardArt/粘液附体
粘液陷阱,Power,Common,Blood,0,0,0,5,0,1,下回合对敌人造成5点伤害。固有：粘液,DealDamageNextTurnEffect,SlimeInherentEffect,0,1,CardArt/粘液陷阱
粘腻爱意,Power,Uncommon,None,2,0,0,3,0,"1,2",施加1层虚弱+1层易伤，减少3点力量。双重标签：粘液+不舍,"ApplyWeakEffect,ApplyVulnerabilityEffect,ReduceStrengthEffect","SlimeInherentEffect,ReluctantInherentEffect",0,1,CardArt/粘腻爱意
霜影斩,Attack,Uncommon,None,2,0,0,2,0,"6,4",将格挡转化为攻击伤害，倍率2。双重标签：暗影+寒霜,BlockToAttackEffect,,0,1,CardArt/霜影斩
暗影腐化,Power,Uncommon,Curse,1,0,0,2,0,7,向牌组添加2张腐化卡,AddCardToDeckEffect,,0,1,CardArt/暗影腐化
腐化,Attack,Basic,Curse,0,6,0,0,1,7,造成6点伤害。消耗,DealDamageEffect,,0,1,CardArt/腐化
腐化之触,Skill,Basic,Curse,1,0,6,0,0,7,获得6点格挡。腐化系基础防御,ApplyBlockEffect,,0,1,CardArt/腐化之触
腐化吞噬,Attack,Rare,Curse,3,20,0,2,1,7,造成20点伤害，抽2张牌。消耗。Legendary,"DealDamageEffect,DrawCardsEffect",,0,1,CardArt/腐化吞噬
腐化蔓延,Attack,Basic,Curse,1,7,0,0,0,7,造成7点伤害。腐化系基础攻击,DealDamageEffect,,0,1,CardArt/腐化蔓延
腐化释放,Power,Uncommon,Curse,2,0,0,0,0,7,消耗所有腐化卡，每张触发效果,CorruptReleaseEffect,,0,1,CardArt/腐化释放
腐蚀打击,Attack,Common,Curse,1,14,0,2,1,7,造成14点伤害，施加2层易伤。消耗,"DealDamageEffect,ApplyVulnerabilityEffect",,0,1,CardArt/腐蚀打击
诅咒_噬命,Status,Unknown,None,0,0,0,0,0,8,打出其他卡时损失1HP,CurseDevourEffect,,0,0,CardArt/诅咒_噬命
诅咒_枷锁,Status,Unknown,None,0,0,0,0,0,8,每回合抽牌-1,CurseChainsEffect,,0,0,CardArt/诅咒_枷锁
诅咒_虚耗,Status,Unknown,None,0,0,0,0,0,8,占位无效果，可在营地移除,CurseVoidEffect,,0,0,CardArt/诅咒_虚耗
诅咒_衰败,Status,Unknown,None,0,0,0,0,0,8,每回合结束损失1HP,CurseDecayEffect,,0,0,CardArt/诅咒_衰败
诅咒_迷雾,Status,Unknown,None,0,0,0,0,0,8,手牌上限-1,CurseFogEffect,,0,0,CardArt/诅咒_迷雾
嗜血仪式,Power,Uncommon,Shadow,1,0,0,2,0,3,获得2点力量，恢复2点HP。血转：每1能量=4HP,"GainStrengthEffect,HealPlayerEffect",,0,1,CardArt/嗜血仪式
血怒,Attack,Common,Shadow,2,12,0,3,0,3,造成12点伤害，恢复3点HP。血转：每1能量=3HP,"DealDamageEffect,HealPlayerEffect",,0,1,CardArt/血怒
血池,Attack,Basic,Shadow,0,8,0,0,0,3,造成8点伤害，恢复HP。血转：每1能量=5HP,"DealDamageEffect,HealPlayerEffect",,0,1,CardArt/血池
血瀑,Attack,Common,Shadow,2,18,0,3,0,03000000,造成18点伤害，恢复3点HP。血转：每1能量=3HP,"DealDamageEffect,HealPlayerEffect",,0,1,CardArt/血瀑
血腥撕裂,Attack,Uncommon,Shadow,3,25,0,0,0,3,造成25点伤害，恢复HP。血转：每1能量=3HP,"DealDamageEffect,HealPlayerEffect",,0,1,CardArt/血腥撕裂
鲜血献祭,Power,Common,Shadow,1,0,0,6,0,3,恢复6点HP，抽3张牌。血转：每1能量=3HP,"HealPlayerEffect,DrawCardsEffect",,0,1,CardArt/鲜血献祭
