Name,EffectClass,Description,ParamsJson
CorruptAddCardEffect,CorruptAddCardEffect,随机将1张腐化标签卡加入手牌(Boss加成后共2张),"{""count"": ""1"", ""bossExtraCount"": ""1""}"
CorruptPowerEffect,CorruptPowerEffect,腐化力量,{}
CorruptReleaseEffect,CorruptReleaseEffect,腐化释放,{}
CurseChainsEffect,CurseChainsEffect,诅咒：枷锁,"{""drawReduction"": ""1""}"
CurseDecayEffect,CurseDecayEffect,诅咒：衰退,"{""hpLossPerTurn"": ""1""}"
CurseDevourEffect,CurseDevourEffect,诅咒：噬命,"{""hpLossPerCard"": ""1""}"
CurseFogEffect,CurseFogEffect,诅咒：迷雾,"{""handSizeReduction"": ""1""}"
CurseVoidEffect,CurseVoidEffect,诅咒：虚耗,{}
DamageReductionEffect,DamageReductionEffect,1回合内受到伤害降低50%(减伤0.5),"{""damageReduction"": ""0.5"", ""duration"": ""1""}"
DealDamageEffect,DealDamageEffect,造成伤害,{}
DealDamageNextTurnEffect,DealDamageNextTurnEffect,下回合伤害,"{""defaultDamage"": ""12""}"
DiscoverEffect,DiscoverEffect,按标签发现3张卡选1张加入手牌(来源2=ByTag),"{""source"": ""2"", ""discoverCount"": ""3"", ""cardsToHand"": ""1"", ""filterTag"": ""0"", ""filterFaction"": ""0"", ""filterRarity"": ""0"", ""excludeSelf"": ""1""}"
Draw2CardsEffect,DrawCardsEffect,抽2张牌,"{""drawCount"": ""2""}"
Draw3CardsEffect,DrawCardsEffect,抽3张牌,"{""drawCount"": ""3""}"
DrawCardsEffect,DrawCardsEffect,抽牌,"{""drawCount"": ""1""}"
DrawCardsPerTurnEffect,DrawCardsPerTurnEffect,每回合抽牌,"{""cardsToDraw"": ""1"", ""handSizeReduction"": ""1""}"
DrawReluctantFromDiscardEffect,DrawReluctantFromDiscardEffect,从弃牌堆回收不舍牌,"{""drawCount"": ""1""}"
DrawingPadDraw2Effect,DrawCardsEffect,,"{""drawCount"": ""2""}"
EliteVictoryExtraCardGroupEffect,EliteVictoryExtraCardGroupEffect,,"{""extraGroup"": ""1""}"
EnergyCoreBattleStartEffect,GainEnergyEffect,,"{""energyGain"": ""2""}"
EternalFlameBattleStartEffect,MultiStatBuffEffect,,"{""strength"": ""2"", ""dexterity"": ""2"", ""block"": ""10"", ""energy"": ""2""}"
Every4TurnsLoseDexEffect,Every4TurnsLoseDexEffect,"每4回合失去1点敏捷(周期4,失去1)","{""loseDex"": ""1"", ""turnInterval"": ""4""}"
ExhaustDrawEffect,DrawCardsEffect,消耗抽牌,"{""bossDouble"": ""1"", ""drawCount"": ""1""}"
ExhaustEnergyEffect,ExhaustEnergyEffect,每回合消耗牌第1次获1能量(Boss加成后得2),"{""energyGain"": ""1"", ""triggersPerTurn"": ""1""}"
ExhaustHandForEnergyEffect,ExhaustHandForEnergyEffect,"消耗全部手牌,每张获1能量(每卡1能量)","{""energyPerCard"": ""1""}"
FrostBonusBlockEffect,FrostBonusBlockEffect,打出冰霜牌额外+8格挡(Boss激活时翻倍16),"{""bonusBlock"": ""8""}"
FrostCardEnergyRefundEffect,FrostCardEnergyRefundEffect,打出冰霜牌返还1能量(refundAmount=1),"{""refundAmount"": ""1""}"
FrostPermafrostEffect,FrostPermafrostEffect,战斗开始获15格挡(Boss激活时额外永久+1敏捷),"{""startBlock"": ""15"", ""bossDexterity"": ""1""}"
FrostSnowflakeEffect,FrostSnowflakeEffect,战斗开始获10格挡(Boss激活时格挡兑换比再-1),"{""startBlock"": ""10"", ""bossBlockCostReduction"": ""1""}"
Gain12GoldOnVictoryEffect,Gain12GoldOnVictoryEffect,,"{""gold"": ""12""}"
GainDexterityBattleStartEffect,GainBuffEffect,开局敏捷,"{""buffType"": ""1"", ""duration"": ""-1"", ""amount"": ""1""}"
GainEnergyEffect,GainEnergyEffect,"获得1点能量并随机弃1张手牌(能量1,弃牌1)","{""energyGain"": ""1"", ""discardRandomCount"": ""1""}"
GainEnergyNextTurnEffect,GainEnergyEffect,下回合开始额外获得1点能量(递延1能量),"{""nextTurn"": ""1"", ""energyGain"": ""1""}"
GainStrength2BattleStartEffect,GainBuffEffect,开局双力量,"{""buffType"": ""0"", ""duration"": ""-1"", ""amount"": ""2""}"
GainStrengthBattleStartEffect,GainBuffEffect,开局力量,"{""buffType"": ""0"", ""duration"": ""-1"", ""amount"": ""2""}"
GainStrengthEffect,GainBuffEffect,获得力量,"{""buffType"": ""0"", ""duration"": ""-1"", ""amount"": ""2""}"
GiftEffect,GiftEffect,礼物卡在回合开始从抽牌堆触发后弃置,"{""triggerTime"": ""0"", ""discardAfterTrigger"": ""1""}"
GoldBonusEffect,GoldBonusEffect,金币加成,"{""goldBonusMultiplier"": ""0.2"", ""baseGoldEstimate"": ""25""}"
HealOnVictoryEffect,HealPlayerEffect,战斗胜利时恢复6点生命值(回血6),"{""healAmount"": ""6""}"
HealPlayerEffect,HealPlayerEffect,治疗,"{""healAmount"": ""5""}"
InspectEffect,InspectEffect,查看/检视抽牌堆顶部3张并自动排序(inspectCount=3),"{""inspectCount"": ""3"", ""autoSortBestToTop"": ""1"", ""priorityOrder"": ""0,1,2,3""}"
InstantKillEffect,InstantKillEffect,"敌人HP<=斩杀阈值时一击秒杀(阈值20,每战限1次)","{""hpThreshold"": ""20"", ""maxKillsPerBattle"": ""1""}"
LoseDexterityNextTurnEffect,GainBuffEffect,2回合内失去2点敏捷(debuff持续2回合),"{""buffType"": ""1"", ""invert"": ""1"", ""amount"": ""2"", ""duration"": ""2""}"
LoseStrengthNextTurnEffect,GainBuffEffect,2回合内失去2点力量(debuff持续2回合),"{""buffType"": ""0"", ""invert"": ""1"", ""amount"": ""2"", ""duration"": ""2""}"
MaxHealthEffect,MaxHealthEffect,最大生命值+20并回复20生命,"{""maxHealthGain"": ""20""}"
MaxHealthSmallEffect,MaxHealthEffect,最大生命小,"{""maxHealthGain"": ""8""}"
PhantomAfter5CardsBoostEffect,PhantomAfter5CardsBoostEffect,幻影强化,"{""extraReduction"": ""3""}"
PhantomAfter5CardsEffect,PhantomAfter5CardsEffect,本战打5张牌后受到伤害-5(Boss时减伤8),"{""cardThreshold"": ""5"", ""dmgReduction"": ""5"", ""bossDmgReduction"": ""8""}"
PhoenixReviveEffect,PhoenixReviveEffect,凤凰复活,"{""reviveHealthPercent"": ""0.5""}"
ReduceStrengthEffect,GainBuffEffect,减少力量,"{""buffType"": ""0"", ""duration"": ""-1"", ""targetMode"": ""2"", ""useMagicNumber"": ""1"", ""invert"": ""1"", ""amount"": ""3""}"
ReluctantBlockBonusEffect,ReluctantBlockBonusEffect,打出不舍牌额外+2格挡(Boss激活翻倍为4),"{""blockAmount"": ""2""}"
ReluctantBonusDrawEffect,ReluctantBonusDrawEffect,不舍抽牌+,"{""bonusDraw"": ""1""}"
ReluctantInherentEffect,ReluctantInherentEffect,不舍固有,"{""drawCount"": ""1""}"
ShadowBurstEffect,ShadowBurstEffect,造成总力量x2伤害并移除所有暗影力量(倍率2),"{""multiplier"": ""2""}"
ShadowCardBonusDamageEffect,ShadowCardBonusDamageEffect,暗影牌攻击伤害+3(Boss激活再加0=共3),"{""bonus"": ""3"", ""bossBonus"": ""0""}"
ShopRestockEffect,ShopRestockEffect,商店补货,{}
SlimeEffect,SlimeEffect,粘液效果,{}
SlimeEnergyEffect,SlimeEnergyEffect,打出粘液牌获得1能量(Boss激活额外+1=共2),"{""energyGain"": ""1"", ""bossExtraEnergy"": ""1""}"
SlimeExpandEffect,SlimeExpandEffect,粘液手牌触发范围扩大到相邻2张(默认1),"{""expandRange"": ""2""}"
SlimeInherentEffect,SlimeInherentEffect,粘液固有,{}
SlimeWeakEffect,SlimeWeakEffect,打出粘液牌对敌1层虚弱3回合(Boss+1层=2层),"{""weakAmount"": ""1"", ""bossExtraWeak"": ""1"", ""weakDuration"": ""3""}"
SmallBlockPerTurnEffect,SmallBlockPerTurnEffect,每回合小格挡,"{""blockAmount"": ""3""}"
TagComboResonanceEffect,TagComboResonanceEffect,"标签组合共鸣双重触发(临时1回合,非永久)","{""isPermanent"": ""0"", ""temporaryDuration"": ""1""}"
TempDexterity3TurnsEffect,GainBuffEffect,,"{""buffType"": ""1"", ""targetMode"": ""1"", ""amount"": ""1"", ""duration"": ""3""}"
TreasureEffect,TreasureEffect,宝藏,"{""count"": ""2""}"
TriggerSlimeHandEffect,TriggerSlimeHandEffect,触发粘液手牌,{}
VictoryGoldPercentEffect,VictoryGoldPercentEffect,战斗胜利奖励+10%持有金币(保底=5),"{""goldPercent"": ""0.1"", ""minBonus"": ""5""}"
